Date,UserID,TweetID,TweetPol,DescPol,QuotePol,HashPol,RTUserID,QUserID,ReplyUserID,RTweetID
2018-05-15 22:41:48,4075993222,996521054762713089,-0.5,0.0,0,0,None,None,24700876,None
2018-05-15 22:48:25,21167709,996522720652247041,-0.5,0.0,0,0,None,None,None,None
2018-05-15 22:56:44,33480513,996524812037214210,-0.5,0.0,0,0,None,None,1876660194,None
2018-05-15 22:58:42,3397967093,996525306872778760,-0.5,0.0,0,0,487535749,None,None,996468277521076225
2018-05-15 23:03:42,733521558988185600,996526564341964800,-0.5,0.267,0,0,278063382,None,None,996403425511444480
2018-05-15 23:13:49,20272083,996529111165059073,-0.5,0.475,0,0,487535749,None,None,996468277521076225
2018-05-15 23:16:14,944790941570707456,996529721822265344,-0.5,0.0,0,0,None,None,None,None
2018-05-15 23:27:01,321376525,996532435105050624,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-15 23:43:57,15129250,996536693804199936,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-16 00:01:47,16657699,996541181868814337,-0.5,0.5,0,0.0,None,None,None,None
2018-05-16 00:20:37,2435520181,996545922980040705,-0.5,0.0,-0.062,0,None,None,None,None
2018-05-16 00:21:36,852691842051211264,996546169588338688,-0.5,1.0,0,0,None,None,3298672939,None
2018-05-16 00:31:48,3984060196,996548738867957760,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-16 00:33:58,732724775785799686,996549280218406917,-0.5,0.0,0,0,None,None,None,None
2018-05-16 00:41:47,711012609638531072,996551248521281536,-0.5,0.5,0,0.0,16657699,None,None,996541181868814337
2018-05-16 00:43:22,153132108,996551649492586497,-0.5,0.0,0,0,771988087790571520,None,None,996522629602344961
2018-05-16 01:04:26,20245031,996556947385147393,-0.5,0.0,0,0.0,16657699,None,None,996541181868814337
2018-05-16 01:05:14,74919901,996557148703412224,-0.5,0.0,0,0.0,16657699,None,None,996541181868814337
2018-05-16 01:08:15,519559300,996557909046779904,-0.5,0.0,0,0.0,16657699,None,None,996541181868814337
2018-05-16 01:29:13,902238397250412544,996563186508644353,-0.5,0.0,0.2,0,902186355534344196,None,None,996167551485792256
2018-05-16 01:30:02,822624280638869504,996563391467737089,-0.5,0.0,0,0.0,16657699,None,None,996541181868814337
2018-05-16 01:34:28,50698933,996564506951200769,-0.5,-0.056,0,0,278063382,None,None,996403425511444480
2018-05-16 01:34:45,901703854840053760,996564577562349568,-0.5,0.0,0.05,0,None,None,None,None
2018-05-16 01:42:29,67363382,996566525338443776,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-16 01:46:39,1566010723,996567574442856448,-0.5,0.0,0,0,278063382,None,None,996403425511444480
2018-05-16 02:07:36,3179483532,996572844426432512,-0.5,0.0,0,0,4075993222,None,None,996521054762713089
2018-05-16 02:14:49,15312961,996574663714062336,-0.5,0.0,0,0,None,None,None,None
2018-05-16 02:17:29,228886881,996575333079048193,-0.5,0.0,0,0,None,None,867782015193690112,None
2018-05-16 02:20:42,1929159024,996576141724012544,-0.5,0.0,0,0,None,None,None,None
2018-05-16 02:25:42,901716095135997954,996577402288394241,-0.5,0.033,0.2,0,902186355534344196,None,None,996167551485792256
2018-05-16 02:32:46,854452205104939008,996579179293372416,-0.5,0.0,0,0,None,None,826613271650136068,None
2018-05-16 03:02:36,33441470,996586685193388033,-0.5,0.0,0,0,2811154361,None,None,996502490219720705
2018-05-16 03:24:23,716395358293590016,996592168289488902,-0.5,0.0,0,0,None,None,None,None
2018-05-16 03:33:08,848967244713385984,996594368818507777,-0.5,0.0,0,0,None,None,780804581747941376,None
2018-05-16 03:37:14,2883861684,996595402085359616,-0.5,-0.04,0,0,278063382,None,None,996403425511444480
2018-05-16 03:37:39,99221059,996595508238958592,-0.5,-0.05,0,0,None,None,596269725,None
2018-05-16 03:47:14,4832450174,996597918139215872,-0.5,0.0,0,0,None,None,None,None
2018-05-16 03:47:37,3486417253,996598013912010752,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 03:48:58,3237613668,996598357207347200,-0.5,0.214,0,0,4832450174,None,None,996597918139215872
2018-05-16 03:49:25,899199836,996598468675125248,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 03:50:41,1316956051,996598788134326272,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 03:50:54,706209496272543744,996598840059879425,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 03:53:34,1677192493,996599514604564481,-0.5,0.0,0,0,4832450174,None,None,996597918139215872
2018-05-16 04:16:46,975800626054598656,996605352639651845,-0.5,0.0,0,0,2811154361,None,None,996502490219720705
2018-05-16 04:19:13,707685492,996605968627757056,-0.5,0.0,0,0,918889854267781120,None,None,996453925330083840
2018-05-16 04:28:29,87903892,996608301600333825,-0.5,-0.125,0,0,None,None,87903892,None
2018-05-16 04:36:31,395508050,996610323468701696,-0.5,0.0,0,0,None,None,None,None
2018-05-16 04:37:21,608622470,996610532160430080,-0.5,0.0,0,0,395508050,None,None,996610323468701696
